Sep  7 00:40:47 Dawids-MacBook-Air newsyslog[24685]: logfile turned over
Sat Sep  7 00:40:48.084 Usb Host Notification Apple80211Set: seqNum 1610 Total 8 chg 1 en0
Sat Sep  7 00:40:48.220 Usb Host Notification Apple80211Set: seqNum 1611 Total 8 chg 1 en0
Sat Sep  7 00:42:36.329 [airport] @[461101.780417] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.780307], took 0.000098
Sat Sep  7 00:42:36.329 [airport] @[461101.780773] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.329 [airport] @[461101.780862] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.780755], took 0.000095
Sat Sep  7 00:42:36.330 [airport] @[461101.781256] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.330 [airport] @[461101.781355] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.781233], took 0.000109
Sat Sep  7 00:42:36.330 [airport] @[461101.781808] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.330 [airport] @[461101.781874] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.781720], took 0.000145
Sat Sep  7 00:42:36.331 [airport] @[461101.782275] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.331 [airport] @[461101.782345] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.782216], took 0.000121
Sat Sep  7 00:42:36.331 [airport] @[461101.782685] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.331 [airport] @[461101.782756] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.782668], took 0.000079
Sat Sep  7 00:42:36.331 [airport] @[461101.782969] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.331 [airport] @[461101.783029] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.782957], took 0.000063
Sat Sep  7 00:42:36.332 [airport] @[461101.783389] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.332 [airport] @[461101.783493] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.783376], took 0.000108
Sat Sep  7 00:42:36.332 [airport] @[461101.783538] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.333 [airport] @[461101.784257] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.783528], took 0.000715
Sat Sep  7 00:42:36.333 [airport] @[461101.784325] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.333 [airport] @[461101.784383] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.784313], took 0.000061
Sat Sep  7 00:42:36.333 [airport] @[461101.784424] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.333 [airport] @[461101.784512] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.784414], took 0.000089
Sat Sep  7 00:42:36.333 [airport] @[461101.784557] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.333 [airport] @[461101.784617] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.784546], took 0.000054
Sat Sep  7 00:42:36.333 [airport] @[461101.784721] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.333 [airport] @[461101.784797] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.784705], took 0.000082
Sat Sep  7 00:42:36.333 [airport] @[461101.784839] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.333 [airport] @[461101.784894] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.784829], took 0.000056
Sat Sep  7 00:42:36.333 [airport] @[461101.785055] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:42:36.334 [airport] @[461101.785113] (airportProcessCommand.m:1667) Processed events, count[  1], @[461101.785042], took 0.000062
Sat Sep  7 00:43:48.247 [airport] @[461173.697988] (airportProcessCommand.m:1381) Processing event, count[ 19]
Sat Sep  7 00:43:48.248 [airport] @[461173.699501] (airportProcessCommand.m:1667) Processed events, count[ 19], @[461173.697967], took 0.001501
Sat Sep  7 00:43:49.755 Usb Host Notification Error Apple80211Set: Device power is off seqNum 1612 Total 8 chg 1 en0
Sat Sep  7 00:43:49.768 [airport] @[461175.219208] (airportProcessCommand.m:1381) Processing event, count[  2]
Sat Sep  7 00:43:49.768 [airport] @[461175.219433] (airportProcessCommand.m:1667) Processed events, count[  2], @[461175.219173], took 0.000242
Sat Sep  7 00:43:49.769 [airport] @[461175.220001] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:43:49.769 [airport] @[461175.220119] (airportProcessCommand.m:1667) Processed events, count[  1], @[461175.219981], took 0.000125
Sat Sep  7 00:43:49.769 [airport] @[461175.220398] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:43:49.769 [airport] @[461175.220516] (airportProcessCommand.m:1667) Processed events, count[  1], @[461175.220380], took 0.000123
Sat Sep  7 00:43:49.769 [airport] @[461175.220836] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:43:49.770 [airport] @[461175.221496] (airportProcessCommand.m:1667) Processed events, count[  1], @[461175.220818], took 0.000664
Sat Sep  7 00:43:49.770 [airport] @[461175.221583] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:43:49.770 [airport] @[461175.221745] (airportProcessCommand.m:1667) Processed events, count[  1], @[461175.221566], took 0.000167
Sat Sep  7 00:43:49.770 [airport] @[461175.221867] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:43:49.770 [airport] @[461175.221927] (airportProcessCommand.m:1667) Processed events, count[  1], @[461175.221856], took 0.000064
Sat Sep  7 00:43:49.771 [airport] @[461175.222374] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:43:49.771 [airport] @[461175.222460] (airportProcessCommand.m:1667) Processed events, count[  1], @[461175.222364], took 0.000089
Sat Sep  7 00:43:49.771 [airport] @[461175.222588] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:43:49.771 [airport] @[461175.222646] (airportProcessCommand.m:1667) Processed events, count[  1], @[461175.222578], took 0.000061
Sat Sep  7 00:43:49.771 [airport] @[461175.222863] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:43:49.771 [airport] @[461175.222916] (airportProcessCommand.m:1667) Processed events, count[  1], @[461175.222848], took 0.000059
Sat Sep  7 00:43:49.772 [airport] @[461175.223289] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:43:49.772 [airport] @[461175.223363] (airportProcessCommand.m:1667) Processed events, count[  1], @[461175.223274], took 0.000079
Sat Sep  7 00:43:49.772 [airport] @[461175.223613] (airportProcessCommand.m:1381) Processing event, count[  1]
Sat Sep  7 00:43:49.773 [airport] @[461175.224845] (airportProcessCommand.m:1667) Processed events, count[  1], @[461175.223598], took 0.001231
Sat Sep  7 00:43:49.773 [airport] @[461175.224948] (airportProcessCommand.m:1381) Processing event, count[  1]
